All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                              final.contigs
# misassemblies                       219          
  # contig misassemblies              219          
    # c. relocations                  78           
    # c. translocations               26           
    # c. inversions                   3            
    # c. interspecies translocations  112          
  # scaffold misassemblies            0            
    # s. relocations                  0            
    # s. translocations               0            
    # s. inversions                   0            
    # s. interspecies translocations  0            
# misassembled contigs                211          
Misassembled contigs length           256350       
# possibly misassembled contigs       429          
    # possible misassemblies          451          
# local misassemblies                 52           
# scaffold gap ext. mis.              0            
# scaffold gap loc. mis.              0            
# unaligned mis. contigs              37           
# mismatches                          437419       
# indels                              10587        
    # indels (<= 5 bp)                10188        
    # indels (> 5 bp)                 399          
Indels length                         25851        
