Assembly	final.contigs
# misassemblies	9
  # contig misassemblies	9
    # c. relocations	9
    # c. translocations	0
    # c. inversions	0
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
# misassembled contigs	9
Misassembled contigs length	8308
# possibly misassembled contigs	9
    # possible misassemblies	9
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	1
# mismatches	5897
# indels	208
    # indels (<= 5 bp)	190
    # indels (> 5 bp)	18
Indels length	838
