All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         final.contigs
# misassemblies                  32           
  # contig misassemblies         32           
    # c. relocations             16           
    # c. translocations          16           
    # c. inversions              0            
  # scaffold misassemblies       0            
    # s. relocations             0            
    # s. translocations          0            
    # s. inversions              0            
# misassembled contigs           30           
Misassembled contigs length      73049        
# possibly misassembled contigs  124          
    # possible misassemblies     138          
# local misassemblies            21           
# scaffold gap ext. mis.         0            
# scaffold gap loc. mis.         0            
# unaligned mis. contigs         17           
# mismatches                     43765        
# indels                         1016         
    # indels (<= 5 bp)           968          
    # indels (> 5 bp)            48           
Indels length                    2289         
