Assembly	final.contigs
# misassemblies	19
  # contig misassemblies	19
    # c. relocations	16
    # c. translocations	1
    # c. inversions	2
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
# misassembled contigs	19
Misassembled contigs length	22573
# possibly misassembled contigs	52
    # possible misassemblies	55
# local misassemblies	11
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	4
# mismatches	106020
# indels	2343
    # indels (<= 5 bp)	2262
    # indels (> 5 bp)	81
Indels length	4661
