Assemblies                                 final.contigs
Kosakonia_cowanii                          3389         
Lactococcus_lactis_subsp._lactis_CV56      4705         
Leuconostoc_pseudomesenteroides_KCTC_3652  18493        
Pantoea_rwandensis                         3144         
Pectobacterium_atrosepticum_CFBP_6276      2958         
Pectobacterium_parmentieri                 2964         
Tatumella_morbirosei                       4227         
Tatumella_punctata                         2072         
